{'truncation_error': 1.1102230246251565e-16, 'E': -8.104831852184972, 'L': 40, 'Ndown_total': 1, 'Nup_total': 1}
{'truncation_error': 1.6653345369377348e-16, 'E': -4.536377874877417, 'L': 40, 'Ndown_total': 0, 'Nup_total': 2}
{'truncation_error': 1.0685896612017132e-15, 'E': -16.20552349960198, 'L': 40, 'Ndown_total': 2, 'Nup_total': 2}
{'truncation_error': 1.4632323110916293e-09, 'E': -88.84968538720386, 'L': 40, 'Ndown_total': 11, 'Nup_total': 11}
{'truncation_error': 2.1718592482209173e-08, 'E': -128.9870809176238, 'L': 40, 'Ndown_total': 16, 'Nup_total': 16}
{'truncation_error': 2.381063955639555e-11, 'E': -56.61968811480627, 'L': 40, 'Ndown_total': 7, 'Nup_total': 7}
{'truncation_error': 3.0277361887265516e-09, 'E': -96.89181080595435, 'L': 40, 'Ndown_total': 12, 'Nup_total': 12}
{'truncation_error': 1.713997952897623e-07, 'E': -168.90551915981806, 'L': 40, 'Ndown_total': 21, 'Nup_total': 21}
{'truncation_error': 2.07115641733154e-07, 'E': -176.8570412600363, 'L': 40, 'Ndown_total': 22, 'Nup_total': 22}
{'truncation_error': 3.2282534723961656e-08, 'E': -136.99029630759938, 'L': 40, 'Ndown_total': 17, 'Nup_total': 17}
{'truncation_error': 3.2472681939503967e-12, 'E': -48.548202023442315, 'L': 40, 'Ndown_total': 6, 'Nup_total': 6}
{'truncation_error': 6.392008851470113e-07, 'E': -208.53663065425886, 'L': 40, 'Ndown_total': 26, 'Nup_total': 26}
{'truncation_error': 1.561249151452172e-06, 'E': -247.80240589172504, 'L': 40, 'Ndown_total': 31, 'Nup_total': 31}
{'truncation_error': 8.047715392345219e-07, 'E': -216.42198171114057, 'L': 40, 'Ndown_total': 27, 'Nup_total': 27}
{'truncation_error': 3.207507174173605e-06, 'E': -286.6191301183915, 'L': 40, 'Ndown_total': 36, 'Nup_total': 36}
{'truncation_error': 7.446093687182523e-09, 'E': -44.88875797666972, 'L': 40, 'Ndown_total': 5, 'Nup_total': 7}
{'truncation_error': 1.8106025790452917e-06, 'E': -255.60439849219543, 'L': 40, 'Ndown_total': 32, 'Nup_total': 32}
{'truncation_error': 4.39672330367002e-06, 'E': -324.89083732478764, 'L': 40, 'Ndown_total': 41, 'Nup_total': 41}
{'truncation_error': 3.0375568232505703e-06, 'E': -294.31791283579435, 'L': 40, 'Ndown_total': 37, 'Nup_total': 37}
{'truncation_error': 6.161930385175217e-06, 'E': -362.5317615403688, 'L': 40, 'Ndown_total': 46, 'Nup_total': 46}
{'truncation_error': 6.7237630764498204e-06, 'E': -399.4633347376718, 'L': 40, 'Ndown_total': 51, 'Nup_total': 51}
{'truncation_error': 2.532134794574553e-07, 'E': -85.10475977019576, 'L': 40, 'Ndown_total': 10, 'Nup_total': 12}
{'truncation_error': 9.11824364445324e-06, 'E': -470.8388895018747, 'L': 40, 'Ndown_total': 61, 'Nup_total': 61}
{'truncation_error': 3.1528829495791933e-06, 'E': -165.10014532832545, 'L': 40, 'Ndown_total': 20, 'Nup_total': 22}
{'truncation_error': 8.421380695215074e-06, 'E': -435.57518203901043, 'L': 40, 'Ndown_total': 56, 'Nup_total': 56}
{'truncation_error': 4.875785722406812e-06, 'E': -332.47682473074093, 'L': 40, 'Ndown_total': 42, 'Nup_total': 42}
{'truncation_error': 6.121246191284367e-06, 'E': -369.97688186025897, 'L': 40, 'Ndown_total': 47, 'Nup_total': 47}
{'truncation_error': 8.181446122491815e-06, 'E': -477.7864416847558, 'L': 40, 'Ndown_total': 62, 'Nup_total': 62}
{'truncation_error': 1.0860346708720863e-06, 'E': -125.19510828661156, 'L': 40, 'Ndown_total': 15, 'Nup_total': 17}
{'truncation_error': 7.880338907057558e-06, 'E': -406.7440408328222, 'L': 40, 'Ndown_total': 52, 'Nup_total': 52}
{'truncation_error': 5.5243096962240786e-06, 'E': -244.03064239867317, 'L': 40, 'Ndown_total': 30, 'Nup_total': 32}
{'truncation_error': 4.137271660119467e-06, 'E': -204.72957225855197, 'L': 40, 'Ndown_total': 25, 'Nup_total': 27}
{'truncation_error': 7.366670943106638e-06, 'E': -442.70982291700824, 'L': 40, 'Ndown_total': 57, 'Nup_total': 57}
{'truncation_error': 7.726545876170585e-06, 'E': -358.83809453393377, 'L': 40, 'Ndown_total': 45, 'Nup_total': 47}
{'truncation_error': 1.4143948742814483e-05, 'E': -282.85535192063173, 'L': 40, 'Ndown_total': 35, 'Nup_total': 37}
{'truncation_error': 9.91853226330348e-06, 'E': -321.1577002721213, 'L': 40, 'Ndown_total': 40, 'Nup_total': 42}
{'truncation_error': 1.58545070535979e-05, 'E': -431.89616409749704, 'L': 40, 'Ndown_total': 55, 'Nup_total': 57}
{'truncation_error': 1.676703209458507e-05, 'E': -395.7770657999502, 'L': 40, 'Ndown_total': 50, 'Nup_total': 52}
{'truncation_error': 1.2904905982117151e-05, 'E': -467.1542795798664, 'L': 40, 'Ndown_total': 60, 'Nup_total': 62}
