{'truncation_error': -6.938893903907228e-16, 'E': -8.06981124732961, 'L': 40, 'Ndown_total': 1, 'Nup_total': 1}
{'truncation_error': -1.1102230246251565e-16, 'E': -4.294299247678166, 'L': 40, 'Ndown_total': 0, 'Nup_total': 2}
{'truncation_error': 3.608224830031759e-16, 'E': -16.1441021308602, 'L': 40, 'Ndown_total': 2, 'Nup_total': 2}
{'truncation_error': 1.2353016244463777e-10, 'E': -40.343672306794744, 'L': 40, 'Ndown_total': 5, 'Nup_total': 5}
{'truncation_error': 1.817773370520713e-09, 'E': -48.40613727113068, 'L': 40, 'Ndown_total': 6, 'Nup_total': 6}
{'truncation_error': 7.000341874996247e-08, 'E': -80.63272568742484, 'L': 40, 'Ndown_total': 10, 'Nup_total': 10}
{'truncation_error': 3.705949210951599e-07, 'E': -120.84694816220502, 'L': 40, 'Ndown_total': 15, 'Nup_total': 15}
{'truncation_error': 8.551033083381188e-08, 'E': -88.68253075607018, 'L': 40, 'Ndown_total': 11, 'Nup_total': 11}
{'truncation_error': 7.754306855289968e-07, 'E': -128.87828148007824, 'L': 40, 'Ndown_total': 16, 'Nup_total': 16}
{'truncation_error': 3.961917805763923e-08, 'E': -36.522255025791424, 'L': 40, 'Ndown_total': 4, 'Nup_total': 6}
{'truncation_error': 1.1379518878685107e-06, 'E': -160.95367347914217, 'L': 40, 'Ndown_total': 20, 'Nup_total': 20}
{'truncation_error': 1.3826408974676271e-06, 'E': -168.9581222127364, 'L': 40, 'Ndown_total': 21, 'Nup_total': 21}
{'truncation_error': 3.715054299634695e-06, 'E': -200.91340333494546, 'L': 40, 'Ndown_total': 25, 'Nup_total': 25}
{'truncation_error': 7.769531026088624e-06, 'E': -248.61417678688824, 'L': 40, 'Ndown_total': 31, 'Nup_total': 31}
{'truncation_error': 3.4585348552599984e-06, 'E': -208.88362483583387, 'L': 40, 'Ndown_total': 26, 'Nup_total': 26}
{'truncation_error': 5.56048441892223e-06, 'E': -240.68547704155284, 'L': 40, 'Ndown_total': 30, 'Nup_total': 30}
{'truncation_error': 1.8250731253366307e-06, 'E': -582.4942847843258, 'L': 40, 'Ndown_total': 75, 'Nup_total': 75}
{'truncation_error': 4.135166895772484e-06, 'E': -472.7682941179427, 'L': 40, 'Ndown_total': 60, 'Nup_total': 60}
{'truncation_error': 4.214904564770025e-06, 'E': -435.1338679406708, 'L': 40, 'Ndown_total': 55, 'Nup_total': 55}
{'truncation_error': 3.054265706429131e-06, 'E': -509.9438113561386, 'L': 40, 'Ndown_total': 65, 'Nup_total': 65}
{'truncation_error': 7.402499965779692e-06, 'E': -280.2277558215568, 'L': 40, 'Ndown_total': 35, 'Nup_total': 35}
{'truncation_error': 2.928284641633868e-06, 'E': -396.99544067114647, 'L': 40, 'Ndown_total': 50, 'Nup_total': 50}
{'truncation_error': 1.3371240831894267e-05, 'E': -358.4284814583063, 'L': 40, 'Ndown_total': 45, 'Nup_total': 45}
{'truncation_error': 8.697098557342898e-06, 'E': -553.7447413702213, 'L': 40, 'Ndown_total': 71, 'Nup_total': 71}
{'truncation_error': 2.737100195586878e-06, 'E': -589.5546555265736, 'L': 40, 'Ndown_total': 76, 'Nup_total': 76}
{'truncation_error': 9.260328692414003e-06, 'E': -480.2330972197192, 'L': 40, 'Ndown_total': 61, 'Nup_total': 61}
{'truncation_error': 2.8990227246770842e-06, 'E': -116.93971149186514, 'L': 40, 'Ndown_total': 14, 'Nup_total': 16}
{'truncation_error': 1.924154375878786e-07, 'E': -505.97185693790016, 'L': 40, 'Ndown_total': 64, 'Nup_total': 66}
{'truncation_error': 1.862613071266966e-05, 'E': -546.5232066231624, 'L': 40, 'Ndown_total': 70, 'Nup_total': 70}
{'truncation_error': 1.1205869536334997e-06, 'E': -468.87513914385886, 'L': 40, 'Ndown_total': 59, 'Nup_total': 61}
{'truncation_error': 6.2468920374129405e-06, 'E': -196.99130917249363, 'L': 40, 'Ndown_total': 24, 'Nup_total': 26}
{'truncation_error': 2.775242701560013e-06, 'E': -431.1859002370496, 'L': 40, 'Ndown_total': 54, 'Nup_total': 56}
{'truncation_error': 7.989184431923639e-07, 'E': -542.5443148635945, 'L': 40, 'Ndown_total': 69, 'Nup_total': 71}
{'truncation_error': 1.2445699623862016e-05, 'E': -404.66419411032473, 'L': 40, 'Ndown_total': 51, 'Nup_total': 51}
{'truncation_error': 1.0343679942089371e-06, 'E': -617.7587541102279, 'L': 40, 'Ndown_total': 80, 'Nup_total': 80}
{'truncation_error': 2.4038225241247507e-06, 'E': -354.5173346160558, 'L': 40, 'Ndown_total': 44, 'Nup_total': 46}
{'truncation_error': 1.413248201678416e-06, 'E': -392.97973485032105, 'L': 40, 'Ndown_total': 49, 'Nup_total': 51}
{'truncation_error': 1.1085108272049414e-07, 'E': -76.76068717249017, 'L': 40, 'Ndown_total': 9, 'Nup_total': 11}
{'truncation_error': 5.994752856016661e-06, 'E': -288.1092216544402, 'L': 40, 'Ndown_total': 36, 'Nup_total': 36}
{'truncation_error': 2.171034582181447e-05, 'E': -319.49648768327063, 'L': 40, 'Ndown_total': 40, 'Nup_total': 40}
{'truncation_error': 5.497080967870998e-06, 'E': -236.69906074366563, 'L': 40, 'Ndown_total': 29, 'Nup_total': 31}
{'truncation_error': 9.438633302605724e-06, 'E': -276.2671487584972, 'L': 40, 'Ndown_total': 34, 'Nup_total': 36}
{'truncation_error': 2.940610887755436e-06, 'E': -157.02339025675582, 'L': 40, 'Ndown_total': 19, 'Nup_total': 21}
{'truncation_error': 1.1619458404244005e-06, 'E': -613.8995717250646, 'L': 40, 'Ndown_total': 79, 'Nup_total': 81}
{'truncation_error': 1.2058097729662137e-06, 'E': -578.5463991650188, 'L': 40, 'Ndown_total': 74, 'Nup_total': 76}
{'truncation_error': 1.290099494762772e-05, 'E': -315.4746282913091, 'L': 40, 'Ndown_total': 39, 'Nup_total': 41}
