n1,n2,Re,Im
1.0,1.0,0.9608178904817262,0.0
1.0,2.0,0.01170263715890208,0.0
1.0,3.0,0.005736430715007305,0.0
1.0,4.0,0.01160018612931484,0.0
1.0,5.0,0.02380344656022054,0.0
1.0,6.0,0.01157380036185132,0.0
1.0,7.0,0.006452815827602884,0.0
1.0,8.0,0.01342877596875892,0.0
1.0,9.0,0.006431322152294536,0.0
1.0,10.0,-0.002865850285318477,0.0
1.0,11.0,-0.005486559705994091,0.0
1.0,12.0,-0.002868836556188294,0.0
1.0,13.0,-0.006229263454620266,0.0
1.0,14.0,-0.01168680579512428,0.0
1.0,15.0,-0.006223498136531035,0.0
1.0,16.0,-0.00408342316343784,0.0
1.0,17.0,-0.006753300606568891,0.0
1.0,18.0,-0.004077995982045458,0.0
1.0,19.0,-0.002293979056001268,0.0
1.0,20.0,-0.003630161778468893,0.0
1.0,21.0,-0.002291817225121876,0.0
1.0,22.0,-0.0009913817636502276,0.0
1.0,23.0,-0.001945317927535002,0.0
1.0,24.0,-0.000990996432770324,0.0
1.0,25.0,0.001282524662855154,0.0
1.0,26.0,0.002186602506288518,0.0
1.0,27.0,0.001282360059716627,0.0
1.0,28.0,0.002535130828800261,0.0
1.0,29.0,0.004497244707400301,0.0
1.0,30.0,0.00253497503173215,0.0
1.0,31.0,0.001910293963994147,0.0
1.0,32.0,0.003092210477638133,0.0
1.0,33.0,0.001910187453674197,0.0
1.0,34.0,0.001131149474290064,0.0
1.0,35.0,0.001794020630009439,0.0
1.0,36.0,0.001131263731399331,0.0
1.0,37.0,0.0003829359568951147,0.0
1.0,38.0,0.0007726786945171872,0.0
1.0,39.0,0.0003830760982668266,0.0
1.0,40.0,-0.000862965652570665,0.0
1.0,41.0,-0.00146785026410373,0.0
1.0,42.0,-0.0008630344397612828,0.0
1.0,43.0,-0.001537294702562272,0.0
1.0,44.0,-0.002679964065292246,0.0
1.0,45.0,-0.001537181283451603,0.0
1.0,46.0,-0.001179686465700351,0.0
1.0,47.0,-0.001887948231275701,0.0
1.0,48.0,-0.001179723556348897,0.0
1.0,49.0,-0.0007186786256636665,0.0
1.0,50.0,-0.001153598376055897,0.0
1.0,51.0,-0.000718658185561594,0.0
1.0,52.0,-0.0001834515333314099,0.0
1.0,53.0,-0.0003946909833124347,0.0
1.0,54.0,-0.0001836529385959172,0.0
1.0,55.0,0.0006820324427975891,0.0
1.0,56.0,0.001169502903040606,0.0
1.0,57.0,0.0006823232737454037,0.0
1.0,58.0,0.001098119295887005,0.0
1.0,59.0,0.001897490447862231,0.0
1.0,60.0,0.001098375765037294,0.0
1.0,61.0,0.0008308101001600267,0.0
1.0,62.0,0.001314974640431279,0.0
1.0,63.0,0.0008307875906362584,0.0
1.0,64.0,0.0005186568249524355,0.0
1.0,65.0,0.0008464625678950814,0.0
1.0,66.0,0.0005184955730857109,0.0
1.0,67.0,8.819517713184601e-05,0.0
1.0,68.0,0.0002148150295658619,0.0
1.0,69.0,8.82569209228465e-05,0.0
1.0,70.0,-0.0005875752756201215,0.0
1.0,71.0,-0.0010171373635786,0.0
1.0,72.0,-0.0005876698881870771,0.0
1.0,73.0,-0.0008583185817059429,0.0
1.0,74.0,-0.00147223639624813,0.0
1.0,75.0,-0.0008583517665093839,0.0
1.0,76.0,-0.0006310397724096574,0.0
1.0,77.0,-0.0009867225824762374,0.0
1.0,78.0,-0.0006310963189552208,0.0
1.0,79.0,-0.0004052204267007909,0.0
1.0,80.0,-0.000675157838871347,0.0
1.0,81.0,-0.0004050605813916338,0.0
1.0,82.0,-3.099244985467142e-05,0.0
1.0,83.0,-0.0001074645743667344,0.0
1.0,84.0,-3.093662813157744e-05,0.0
1.0,85.0,0.0005367953701165809,0.0
1.0,86.0,0.0009393172182056889,0.0
1.0,87.0,0.0005368180771670417,0.0
1.0,88.0,0.0007072368187346473,0.0
1.0,89.0,0.001204792903023522,0.0
1.0,90.0,0.0007072438648111886,0.0
1.0,91.0,0.0004990067324589963,0.0
1.0,92.0,0.0007673918343287237,0.0
1.0,93.0,0.0004988887440739364,0.0
1.0,94.0,0.0003354215068319041,0.0
1.0,95.0,0.0005744629270454292,0.0
1.0,96.0,0.000335356270254029,0.0
1.0,97.0,-1.031337521036499e-05,0.0
1.0,98.0,3.203533252309715e-05,0.0
1.0,99.0,-1.01984482219732e-05,0.0
1.0,100.0,-0.0005157244736843066,0.0
1.0,101.0,-0.0009156170189089806,0.0
1.0,102.0,-0.0005158737372599417,0.0
1.0,103.0,-0.0005970683455254333,0.0
1.0,104.0,-0.001008515804726778,0.0
1.0,105.0,-0.0005972686801421712,0.0
