n1,n2,Re,Im
1.0,1.0,0.997743,0.0
1.0,2.0,0.00181391,0.0
1.0,3.0,0.00226578,0.0
1.0,4.0,0.00181027,0.0
1.0,5.0,0.000678241,0.0
1.0,6.0,0.00183449,0.0
1.0,7.0,0.00485909,0.0
1.0,8.0,0.00603959,0.0
1.0,9.0,0.0048429,0.0
1.0,10.0,0.00182715,0.0
1.0,11.0,0.00237685,0.0
1.0,12.0,0.0061692,0.0
1.0,13.0,0.00756174,0.0
1.0,14.0,0.00613383,0.0
1.0,15.0,0.00236166,0.0
1.0,16.0,0.00223662,0.0
1.0,17.0,0.00555436,0.0
1.0,18.0,0.00660278,0.0
1.0,19.0,0.00550787,0.0
1.0,20.0,0.00221681,0.0
1.0,21.0,0.00182074,0.0
1.0,22.0,0.00423726,0.0
1.0,23.0,0.00480342,0.0
1.0,24.0,0.00419771,0.0
1.0,25.0,0.00180344,0.0
1.0,26.0,0.00153753,0.0
1.0,27.0,0.00344864,0.0
1.0,28.0,0.00380553,0.0
1.0,29.0,0.00342544,0.0
1.0,30.0,0.00152685,0.0
1.0,31.0,0.00143455,0.0
1.0,32.0,0.00326486,0.0
1.0,33.0,0.0036566,0.0
1.0,34.0,0.0032552,0.0
1.0,35.0,0.00142976,0.0
1.0,36.0,0.00133704,0.0
1.0,37.0,0.00306486,0.0
1.0,38.0,0.00345748,0.0
1.0,39.0,0.00306218,0.0
1.0,40.0,0.00133553,0.0
1.0,41.0,0.0011886,0.0
1.0,42.0,0.00266584,0.0
1.0,43.0,0.00295682,0.0
1.0,44.0,0.00266558,0.0
1.0,45.0,0.00118836,0.0
1.0,46.0,0.00107695,0.0
1.0,47.0,0.00238219,0.0
1.0,48.0,0.00261289,0.0
1.0,49.0,0.00238239,0.0
1.0,50.0,0.00107701,0.0
1.0,51.0,0.00102831,0.0
1.0,52.0,0.0023049,0.0
1.0,53.0,0.00255666,0.0
1.0,54.0,0.00230503,0.0
1.0,55.0,0.00102837,0.0
1.0,56.0,0.000974894,0.0
1.0,57.0,0.00219657,0.0
1.0,58.0,0.00244718,0.0
1.0,59.0,0.00219661,0.0
1.0,60.0,0.000974919,0.0
1.0,61.0,0.000895828,0.0
1.0,62.0,0.00198796,0.0
1.0,63.0,0.00218742,0.0
1.0,64.0,0.00198796,0.0
1.0,65.0,0.000895833,0.0
1.0,66.0,0.000838815,0.0
1.0,67.0,0.00185006,0.0
1.0,68.0,0.00202543,0.0
1.0,69.0,0.00185005,0.0
1.0,70.0,0.000838815,0.0
1.0,71.0,0.000812915,0.0
1.0,72.0,0.0018152,0.0
1.0,73.0,0.00200805,0.0
1.0,74.0,0.0018152,0.0
1.0,75.0,0.000812911,0.0
1.0,76.0,0.000776881,0.0
1.0,77.0,0.0017382,0.0
1.0,78.0,0.00192614,0.0
1.0,79.0,0.00173819,0.0
1.0,80.0,0.000776874,0.0
1.0,81.0,0.00072555,0.0
1.0,82.0,0.0016021,0.0
1.0,83.0,0.00175604,0.0
1.0,84.0,0.00160209,0.0
1.0,85.0,0.000725552,0.0
1.0,86.0,0.000692511,0.0
1.0,87.0,0.00152681,0.0
1.0,88.0,0.00167144,0.0
1.0,89.0,0.00152681,0.0
1.0,90.0,0.00069251,0.0
1.0,91.0,0.000677081,0.0
1.0,92.0,0.00151054,0.0
1.0,93.0,0.00167011,0.0
1.0,94.0,0.00151054,0.0
1.0,95.0,0.000677077,0.0
1.0,96.0,0.000648977,0.0
1.0,97.0,0.00144625,0.0
1.0,98.0,0.00159761,0.0
1.0,99.0,0.00144624,0.0
1.0,100.0,0.00064897,0.0
1.0,101.0,0.000611653,0.0
1.0,102.0,0.00134638,0.0
1.0,103.0,0.00147205,0.0
1.0,104.0,0.00134637,0.0
1.0,105.0,0.000611654,0.0
1.0,106.0,0.000591421,0.0
1.0,107.0,0.00130482,0.0
1.0,108.0,0.00142941,0.0
1.0,109.0,0.00130482,0.0
1.0,110.0,0.000591417,0.0
1.0,111.0,0.000581027,0.0
1.0,112.0,0.00129668,0.0
1.0,113.0,0.00143417,0.0
1.0,114.0,0.00129667,0.0
1.0,115.0,0.000581023,0.0
1.0,116.0,0.000556274,0.0
1.0,117.0,0.00123598,0.0
1.0,118.0,0.00136207,0.0
1.0,119.0,0.00123598,0.0
1.0,120.0,0.000556269,0.0
1.0,121.0,0.000526851,0.0
1.0,122.0,0.00115678,0.0
1.0,123.0,0.0012621,0.0
1.0,124.0,0.00115677,0.0
1.0,125.0,0.000526852,0.0
1.0,126.0,0.000514416,0.0
1.0,127.0,0.00113667,0.0
1.0,128.0,0.00124685,0.0
1.0,129.0,0.00113667,0.0
1.0,130.0,0.000514415,0.0
1.0,131.0,0.000505992,0.0
1.0,132.0,0.00113065,0.0
1.0,133.0,0.00125185,0.0
1.0,134.0,0.00113064,0.0
1.0,135.0,0.00050599,0.0
1.0,136.0,0.00048144,0.0
1.0,137.0,0.0010666,0.0
1.0,138.0,0.00117256,0.0
1.0,139.0,0.00106659,0.0
1.0,140.0,0.000481437,0.0
1.0,141.0,0.000456469,0.0
1.0,142.0,0.00099957,0.0
1.0,143.0,0.00108806,0.0
1.0,144.0,0.000999566,0.0
1.0,145.0,0.000456472,0.0
1.0,146.0,0.000449243,0.0
1.0,147.0,0.000995499,0.0
1.0,148.0,0.00109454,0.0
1.0,149.0,0.000995499,0.0
1.0,150.0,0.000449244,0.0
1.0,151.0,0.000440118,0.0
1.0,152.0,0.000986087,0.0
1.0,153.0,0.00109413,0.0
1.0,154.0,0.000986085,0.0
1.0,155.0,0.00044012,0.0
1.0,156.0,0.000412031,0.0
1.0,157.0,0.000909172,0.0
1.0,158.0,0.000996003,0.0
1.0,159.0,0.000909169,0.0
1.0,160.0,0.000412043,0.0
1.0,161.0,0.000388659,0.0
1.0,162.0,0.000847694,0.0
1.0,163.0,0.000919381,0.0
1.0,164.0,0.000847701,0.0
1.0,165.0,0.00038867,0.0
1.0,166.0,0.000385072,0.0
1.0,167.0,0.000858861,0.0
1.0,168.0,0.000949127,0.0
1.0,169.0,0.000858866,0.0
1.0,170.0,0.000385081,0.0
1.0,171.0,0.000370457,0.0
1.0,172.0,0.000836121,0.0
1.0,173.0,0.000932876,0.0
1.0,174.0,0.000836126,0.0
1.0,175.0,0.000370468,0.0
1.0,176.0,0.000329533,0.0
1.0,177.0,0.000721035,0.0
1.0,178.0,0.00078341,0.0
1.0,179.0,0.000721045,0.0
1.0,180.0,0.000329552,0.0
1.0,181.0,0.000301212,0.0
1.0,182.0,0.000651503,0.0
1.0,183.0,0.000699641,0.0
1.0,184.0,0.000651518,0.0
1.0,185.0,0.000301231,0.0
1.0,186.0,0.000296312,0.0
1.0,187.0,0.000686762,0.0
1.0,188.0,0.000779769,0.0
1.0,189.0,0.000686778,0.0
1.0,190.0,0.000296334,0.0
1.0,191.0,0.000243373,0.0
1.0,192.0,0.000606136,0.0
1.0,193.0,0.000725006,0.0
1.0,194.0,0.000606147,0.0
1.0,195.0,0.000243388,0.0
1.0,196.0,9.58103e-05,0.0
1.0,197.0,0.000246867,0.0
1.0,198.0,0.000302007,0.0
1.0,199.0,0.000246873,0.0
1.0,200.0,9.58091e-05,0.0
2.0,2.0,0.98815,0.0
2.0,3.0,0.00605182,0.0
2.0,4.0,0.00483436,0.0
2.0,5.0,0.00181028,0.0
2.0,6.0,0.00489572,0.0
2.0,7.0,0.0129827,0.0
2.0,8.0,0.0161543,0.0
2.0,9.0,0.0129495,0.0
2.0,10.0,0.00488099,0.0
2.0,11.0,0.00634205,0.0
2.0,12.0,0.0164909,0.0
2.0,13.0,0.0202517,0.0
2.0,14.0,0.0164204,0.0
2.0,15.0,0.00631214,0.0
2.0,16.0,0.00594831,0.0
2.0,17.0,0.0148008,0.0
2.0,18.0,0.0176396,0.0
2.0,19.0,0.0147111,0.0
2.0,20.0,0.00591026,0.0
2.0,21.0,0.00479911,0.0
2.0,22.0,0.0111695,0.0
2.0,23.0,0.0126807,0.0
2.0,24.0,0.0110953,0.0
2.0,25.0,0.00476662,0.0
2.0,26.0,0.00400781,0.0
2.0,27.0,0.00896104,0.0
2.0,28.0,0.00987287,0.0
2.0,29.0,0.00891841,0.0
2.0,30.0,0.0039881,0.0
2.0,31.0,0.00372217,0.0
2.0,32.0,0.00844601,0.0
2.0,33.0,0.0094415,0.0
2.0,34.0,0.00842852,0.0
2.0,35.0,0.00371343,0.0
2.0,36.0,0.00347072,0.0
2.0,37.0,0.00794698,0.0
2.0,38.0,0.00895894,0.0
2.0,39.0,0.00794221,0.0
2.0,40.0,0.003468,0.0
2.0,41.0,0.00308362,0.0
2.0,42.0,0.00691216,0.0
2.0,43.0,0.00766384,0.0
2.0,44.0,0.00691175,0.0
2.0,45.0,0.00308319,0.0
2.0,46.0,0.00278663,0.0
2.0,47.0,0.00615591,0.0
2.0,48.0,0.00674503,0.0
2.0,49.0,0.00615629,0.0
2.0,50.0,0.00278674,0.0
2.0,51.0,0.00265693,0.0
2.0,52.0,0.0059474,0.0
2.0,53.0,0.00659014,0.0
2.0,54.0,0.00594765,0.0
2.0,55.0,0.00265704,0.0
2.0,56.0,0.00251961,0.0
2.0,57.0,0.00567354,0.0
2.0,58.0,0.00631806,0.0
2.0,59.0,0.00567361,0.0
2.0,60.0,0.00251966,0.0
2.0,61.0,0.00231479,0.0
2.0,62.0,0.00513485,0.0
2.0,63.0,0.00564853,0.0
2.0,64.0,0.00513485,0.0
2.0,65.0,0.0023148,0.0
2.0,66.0,0.00216501,0.0
2.0,67.0,0.00477147,0.0
2.0,68.0,0.00522071,0.0
2.0,69.0,0.00477146,0.0
2.0,70.0,0.00216501,0.0
2.0,71.0,0.0020971,0.0
2.0,72.0,0.00467932,0.0
2.0,73.0,0.00517355,0.0
2.0,74.0,0.00467931,0.0
2.0,75.0,0.00209709,0.0
2.0,76.0,0.00200469,0.0
2.0,77.0,0.00448376,0.0
2.0,78.0,0.00496734,0.0
2.0,79.0,0.00448373,0.0
2.0,80.0,0.00200467,0.0
2.0,81.0,0.00187196,0.0
2.0,82.0,0.00413235,0.0
2.0,83.0,0.00452852,0.0
2.0,84.0,0.00413234,0.0
2.0,85.0,0.00187196,0.0
2.0,86.0,0.00178558,0.0
2.0,87.0,0.00393472,0.0
2.0,88.0,0.00430572,0.0
2.0,89.0,0.00393471,0.0
2.0,90.0,0.00178558,0.0
2.0,91.0,0.0017455,0.0
2.0,92.0,0.00389236,0.0
2.0,93.0,0.00430204,0.0
2.0,94.0,0.00389235,0.0
2.0,95.0,0.00174549,0.0
2.0,96.0,0.00167343,0.0
2.0,97.0,0.00372844,0.0
2.0,98.0,0.00411803,0.0
2.0,99.0,0.00372841,0.0
2.0,100.0,0.00167341,0.0
2.0,101.0,0.00157696,0.0
2.0,102.0,0.00347044,0.0
2.0,103.0,0.00379376,0.0
2.0,104.0,0.00347042,0.0
2.0,105.0,0.00157696,0.0
2.0,106.0,0.00152418,0.0
2.0,107.0,0.00336142,0.0
2.0,108.0,0.00368125,0.0
2.0,109.0,0.0033614,0.0
2.0,110.0,0.00152417,0.0
2.0,111.0,0.00149737,0.0
2.0,112.0,0.00334062,0.0
2.0,113.0,0.00369397,0.0
2.0,114.0,0.00334062,0.0
2.0,115.0,0.00149736,0.0
2.0,116.0,0.00143384,0.0
2.0,117.0,0.00318535,0.0
2.0,118.0,0.00350994,0.0
2.0,119.0,0.00318533,0.0
2.0,120.0,0.00143382,0.0
2.0,121.0,0.00135779,0.0
2.0,122.0,0.00298062,0.0
2.0,123.0,0.00325151,0.0
2.0,124.0,0.0029806,0.0
2.0,125.0,0.00135779,0.0
2.0,126.0,0.00132538,0.0
2.0,127.0,0.00292769,0.0
2.0,128.0,0.00321066,0.0
2.0,129.0,0.00292768,0.0
2.0,130.0,0.00132538,0.0
2.0,131.0,0.00130376,0.0
2.0,132.0,0.00291259,0.0
2.0,133.0,0.00322427,0.0
2.0,134.0,0.00291258,0.0
2.0,135.0,0.00130375,0.0
2.0,136.0,0.00124067,0.0
2.0,137.0,0.00274828,0.0
2.0,138.0,0.00302105,0.0
2.0,139.0,0.00274827,0.0
2.0,140.0,0.00124066,0.0
2.0,141.0,0.00117613,0.0
2.0,142.0,0.00257498,0.0
2.0,143.0,0.00280253,0.0
2.0,144.0,0.00257497,0.0
2.0,145.0,0.00117614,0.0
2.0,146.0,0.0011573,0.0
2.0,147.0,0.00256383,0.0
2.0,148.0,0.00281832,0.0
2.0,149.0,0.00256383,0.0
2.0,150.0,0.0011573,0.0
2.0,151.0,0.00113391,0.0
2.0,152.0,0.00254009,0.0
2.0,153.0,0.00281802,0.0
2.0,154.0,0.00254008,0.0
2.0,155.0,0.00113391,0.0
2.0,156.0,0.00106165,0.0
2.0,157.0,0.00234236,0.0
2.0,158.0,0.00256589,0.0
2.0,159.0,0.00234236,0.0
2.0,160.0,0.00106168,0.0
2.0,161.0,0.00100128,0.0
2.0,162.0,0.00218344,0.0
2.0,163.0,0.00236774,0.0
2.0,164.0,0.00218346,0.0
2.0,165.0,0.0010013,0.0
2.0,166.0,0.000991921,0.0
2.0,167.0,0.00221186,0.0
2.0,168.0,0.00244389,0.0
2.0,169.0,0.00221187,0.0
2.0,170.0,0.000991944,0.0
