n1,n2,Re,Im
1.0,1.0,0.986862779751669,0.0
1.0,2.0,0.000103979558195608,0.0
1.0,3.0,0.0001024202694506373,0.0
1.0,4.0,5.42405758774129e-05,0.0
1.0,5.0,1.21927189080245e-05,0.0
1.0,6.0,0.0001207634218088911,0.0
1.0,7.0,0.00030046701763551,0.0
1.0,8.0,0.0002728763828008377,0.0
1.0,9.0,0.0001168902236325607,0.0
1.0,10.0,1.617453096906015e-05,0.0
1.0,11.0,0.0001572932990597372,0.0
1.0,12.0,0.0003636620641045149,0.0
1.0,13.0,0.0002465701801770364,0.0
1.0,14.0,1.34516534087247e-05,0.0
1.0,15.0,-3.789202204124803e-05,0.0
1.0,16.0,0.000124455609165606,0.0
1.0,17.0,0.0002031008734155906,0.0
1.0,18.0,-6.898861832193406e-05,0.0
1.0,19.0,-0.00029131824334967,0.0
1.0,20.0,-0.0001517950725100498,0.0
1.0,21.0,8.077321338314867e-05,0.0
1.0,22.0,1.01804600138083e-05,0.0
1.0,23.0,-0.0004056744396128406,0.0
1.0,24.0,-0.0005879552264140399,0.0
1.0,25.0,-0.0002563119640542484,0.0
1.0,26.0,0.0001051762137319793,0.0
1.0,27.0,5.241242048354639e-05,0.0
1.0,28.0,-0.0004022609316465557,0.0
1.0,29.0,-0.000618869695555143,0.0
1.0,30.0,-0.0002722370095996455,0.0
1.0,31.0,0.0001876504969849496,0.0
1.0,32.0,0.0003047506218127771,0.0
1.0,33.0,-7.386086142661448e-05,0.0
1.0,34.0,-0.0003877267088264032,0.0
1.0,35.0,-0.0002009755676596905,0.0
1.0,36.0,0.0002474972153948201,0.0
1.0,37.0,0.0005108613588177837,0.0
1.0,38.0,0.0002408922731424246,0.0
1.0,39.0,-0.0001374678955825496,0.0
1.0,40.0,-0.0001182755147576752,0.0
1.0,41.0,0.0002320272001155861,0.0
1.0,42.0,0.0004998168876279955,0.0
1.0,43.0,0.0002889211227927593,0.0
1.0,44.0,-6.673983302129471e-05,0.0
1.0,45.0,-8.821060456034314e-05,0.0
1.0,46.0,0.0001579249984187016,0.0
1.0,47.0,0.000316148276694748,0.0
1.0,48.0,0.0001157460962350686,0.0
1.0,49.0,-0.0001486554015138739,0.0
1.0,50.0,-0.0001044433317596143,0.0
1.0,51.0,7.71506806882776e-05,0.0
1.0,52.0,0.0001141018692264163,0.0
1.0,53.0,-7.440713203472602e-05,0.0
1.0,54.0,-0.0002326075849491916,0.0
1.0,55.0,-0.0001195414788361037,0.0
1.0,56.0,2.858970327794147e-05,0.0
1.0,57.0,6.097650646416134e-06,0.0
1.0,58.0,-0.0001440593913776573,0.0
1.0,59.0,-0.0002269442721602847,0.0
1.0,60.0,-0.0001048187741632093,0.0
1.0,61.0,1.683977642609045e-05,0.0
1.0,62.0,2.525774473008331e-07,0.0
1.0,63.0,-9.488568949107811e-05,0.0
1.0,64.0,-0.0001446073182402232,0.0
1.0,65.0,-6.670803352698838e-05,0.0
1.0,66.0,2.298963556579862e-05,0.0
1.0,67.0,3.786203653013066e-05,0.0
1.0,68.0,-6.917952126919157e-06,0.0
1.0,69.0,-4.85182707513167e-05,0.0
1.0,70.0,-2.733118657802701e-05,0.0
1.0,71.0,2.866989880704508e-05,0.0
1.0,72.0,6.483401312643035e-05,0.0
1.0,73.0,4.958296855313976e-05,0.0
1.0,74.0,9.929404368324743e-06,0.0
1.0,75.0,-3.669974505495199e-06,0.0
1.0,76.0,2.820861702463005e-05,0.0
1.0,77.0,6.589919019577622e-05,0.0
1.0,78.0,5.703241586515327e-05,0.0
1.0,79.0,2.032403974904822e-05,0.0
1.0,80.0,1.378823907286775e-06,0.0
1.0,81.0,2.480151246144401e-05,0.0
1.0,82.0,5.429133506945016e-05,0.0
1.0,83.0,3.834379494860919e-05,0.0
1.0,84.0,3.88965423935684e-06,0.0
1.0,85.0,-4.367017751575446e-06,0.0
1.0,86.0,2.084865585007415e-05,0.0
1.0,87.0,4.15265119743028e-05,0.0
1.0,88.0,1.60795986872497e-05,0.0
1.0,89.0,-1.734293149324861e-05,0.0
1.0,90.0,-1.253330863133838e-05,0.0
1.0,91.0,1.393705476447042e-05,0.0
1.0,92.0,2.256218100941728e-05,0.0
1.0,93.0,-9.358081008537197e-06,0.0
1.0,94.0,-3.733469017418118e-05,0.0
1.0,95.0,-1.969155326337424e-05,0.0
1.0,96.0,2.587933915175785e-06,0.0
1.0,97.0,-6.891794299864973e-06,0.0
1.0,98.0,-4.034778718615997e-05,0.0
1.0,99.0,-5.443639026765064e-05,0.0
1.0,100.0,-2.405642264198929e-05,0.0
1.0,101.0,-7.81250845576962e-06,0.0
1.0,102.0,-3.08709344994577e-05,0.0
1.0,103.0,-5.670675377717897e-05,0.0
1.0,104.0,-5.429761676777928e-05,0.0
1.0,105.0,-2.078025794967482e-05,0.0
1.0,106.0,-9.967218569666807e-06,0.0
1.0,107.0,-2.740829197023601e-05,0.0
1.0,108.0,-3.171696233402947e-05,0.0
1.0,109.0,-1.987329773730013e-05,0.0
1.0,110.0,-5.37051224240449e-06,0.0
1.0,111.0,-5.404331181681861e-06,0.0
1.0,112.0,-1.791088081383847e-06,0.0
1.0,113.0,2.471588808010286e-05,0.0
1.0,114.0,3.859907659932735e-05,0.0
1.0,115.0,1.773215377484035e-05,0.0
1.0,116.0,-4.311484758584311e-06,0.0
1.0,117.0,1.222529023410966e-05,0.0
1.0,118.0,6.321401769165217e-05,0.0
1.0,119.0,8.14880648037371e-05,0.0
1.0,120.0,3.498480511153263e-05,0.0
1.0,121.0,-1.297163980777711e-05,0.0
1.0,122.0,-7.853998240171712e-06,0.0
1.0,123.0,4.838102487651684e-05,0.0
1.0,124.0,7.927123639024366e-05,0.0
1.0,125.0,3.63300220487515e-05,0.0
1.0,126.0,-2.558299341403072e-05,0.0
1.0,127.0,-4.493053356799615e-05,0.0
1.0,128.0,8.368868781860745e-07,0.0
1.0,129.0,4.564793134798917e-05,0.0
1.0,130.0,2.590029406835154e-05,0.0
1.0,131.0,-3.163181420246156e-05,0.0
1.0,132.0,-6.524474328498854e-05,0.0
1.0,133.0,-3.151873627012473e-05,0.0
1.0,134.0,1.779481026841494e-05,0.0
1.0,135.0,1.584784386076023e-05,0.0
1.0,136.0,-2.832560772340262e-05,0.0
1.0,137.0,-5.877187431141789e-05,0.0
1.0,138.0,-3.12658617805281e-05,0.0
1.0,139.0,1.16114038498835e-05,0.0
1.0,140.0,1.206305266051894e-05,0.0
1.0,141.0,-2.177101930939225e-05,0.0
1.0,142.0,-4.322866806366367e-05,0.0
1.0,143.0,-1.922553351816623e-05,0.0
1.0,144.0,1.421913660127592e-05,0.0
1.0,145.0,1.14491641747227e-05,0.0
1.0,146.0,-1.730613517372267e-05,0.0
1.0,147.0,-3.34322777422912e-05,0.0
1.0,148.0,-1.19037934194626e-05,0.0
1.0,149.0,1.591382155283787e-05,0.0
1.0,150.0,1.152030773150639e-05,0.0
1.0,151.0,-1.415576729996941e-05,0.0
1.0,152.0,-2.452177318924839e-05,0.0
1.0,153.0,3.167747587203469e-07,0.0
1.0,154.0,2.555831368752496e-05,0.0
1.0,155.0,1.514822898210639e-05,0.0
1.0,156.0,-1.130383201649585e-05,0.0
1.0,157.0,-1.193979679347856e-05,0.0
1.0,158.0,2.437680018412364e-05,0.0
1.0,159.0,4.840662426560025e-05,0.0
1.0,160.0,2.37559893164126e-05,0.0
1.0,161.0,-1.255882689677797e-05,0.0
