n1,n2,Re,Im
1.0,1.0,0.8704582348566376,0.0
1.0,2.0,0.141441831115447,0.0
1.0,3.0,0.09341483128746353,0.0
1.0,4.0,0.01742255882011113,0.0
1.0,5.0,-0.02932613465411335,0.0
1.0,6.0,-0.03624106084613699,0.0
1.0,7.0,-0.02527270243500105,0.0
1.0,8.0,-0.02033993027720875,0.0
1.0,9.0,-0.01573244740212407,0.0
1.0,10.0,-0.003074653277513882,0.0
1.0,11.0,0.0103516193265272,0.0
1.0,12.0,0.01492876512196247,0.0
1.0,13.0,0.01226276496517933,0.0
1.0,14.0,0.009763712255978264,0.0
1.0,15.0,0.006952904382910481,0.0
1.0,16.0,0.0005409327385192971,0.0
1.0,17.0,-0.006648348465907808,0.0
1.0,18.0,-0.009407936276480578,0.0
1.0,19.0,-0.00788242133105486,0.0
1.0,20.0,-0.005962277123091574,0.0
1.0,21.0,-0.003789553929884099,0.0
1.0,22.0,0.0004602584576564945,0.0
1.0,23.0,0.005196825475190943,0.0
1.0,24.0,0.006982026731617477,0.0
1.0,25.0,0.005709212961379632,0.0
1.0,26.0,0.00400982892966823,0.0
1.0,27.0,0.002189958107282226,0.0
1.0,28.0,-0.0009850626896022931,0.0
1.0,29.0,-0.004457708321130378,0.0
1.0,30.0,-0.0056440349600127,0.0
1.0,31.0,-0.004399553827813931,0.0
1.0,32.0,-0.002804693358465791,0.0
1.0,33.0,-0.001226215499026073,0.0
1.0,34.0,0.001306407834434396,0.0
1.0,35.0,0.004027544701672798,0.0
1.0,36.0,0.004804375185295116,0.0
1.0,37.0,0.003502428932602895,0.0
1.0,38.0,0.001961052162758601,0.0
1.0,39.0,0.0005767536443827452,0.0
1.0,40.0,-0.001522603489506916,0.0
1.0,41.0,-0.00376301560455481,0.0
1.0,42.0,-0.004232992537628302,0.0
1.0,43.0,-0.002818784705288352,0.0
1.0,44.0,-0.001304604445650476,0.0
1.0,45.0,-0.0001072737172753102,0.0
1.0,46.0,0.001667963164288625,0.0
1.0,47.0,0.003603390626596806,0.0
1.0,48.0,0.003819910812228202,0.0
1.0,49.0,0.002226842689337593,0.0
1.0,50.0,0.0007336418546599897,0.0
1.0,51.0,-0.0002316964964066504,0.0
1.0,52.0,-0.001731937200922202,0.0
1.0,53.0,-0.003532510668607048,0.0
1.0,54.0,-0.003492224496043819,0.0
1.0,55.0,-0.001567924115945365,0.0
1.0,56.0,-0.0001547035044577739,0.0
1.0,57.0,0.0003493268994674217,0.0
1.0,58.0,0.001554102146640834,0.0
1.0,59.0,0.003740326706983622,0.0
1.0,60.0,0.002437062442511895,0.0
2.0,2.0,0.5458345687543046,0.0
2.0,3.0,0.2282709106372038,0.0
2.0,4.0,0.07719026375499444,0.0
2.0,5.0,-0.02846411306378501,0.0
2.0,6.0,-0.05784952372672564,0.0
2.0,7.0,-0.04256359998578888,0.0
2.0,8.0,-0.03279861989399175,0.0
