point5 [-4.415617303208947], [1.549418560385444]
point6 [-4.366368453091095], [1.7298526620695576]
point7 [-4.309307082540592], [1.9308675525188796]
point8 [-4.356448648682431], [2.148007978522699]
point10 [-4.368965056476021], [2.421663570331777]
point12 [-4.348496548163137], [2.5635804113718557]
point13 [-4.353716218298743], [2.6671367376053965]
point11 [-4.357243881841608], [2.4880662244210967]
point20 [-4.2813905684129026], [3.4444898813380647]
point9 [-4.367447238404598], [2.3711027742158706]
point16 [-4.273127102471399], [2.966358760561633]
point18 [-4.242378604005715], [3.19899404985091]
point17 [-4.259277748593959], [3.0744804283221043]
point21 [-4.320660766988716], [3.6453394393696072]
point14 [-4.328869919410508], [2.7642977566198894]
point22 [-4.314479776873213], [3.749640917249934]
point19 [-4.24123525767282], [3.3225338175547776]
point27 [-4.316359093907174], [4.063615562766266]
point15 [-4.3004882003953], [2.862939197086341]
point38 [-4.31467988805958], [4.8370288950280695]
point26 [-4.330580312780242], [3.9732421077934745]
point24 [-4.327696450848876], [3.8387385197611366]
point30 [-4.315599677113056], [4.273040587429982]
point35 [-4.315529944284336], [4.662461833980451]
point23 [-4.314356128092719], [3.7820108125903857]
point34 [-4.30989899163756], [4.587249800623809]
point29 [-4.325592507089027], [4.207252650253089]
point33 [-4.319902997087873], [4.50975497058797]
point25 [-4.325842533209034], [3.918395506635214]
point32 [-4.298131441088415], [4.422486444161699]
point50 [-3.9653449702337333], [5.863003477587444]
point40 [-4.280946756528323], [4.958582282823016]
point45 [-4.0753254477797825], [5.435554471705387]
point40 [-4.28094674875765], [4.958582139428273]
point45 [-4.075325454605071], [5.43555404903109]
point53 [-3.8277129604383227], [6.095206711590091]
