W,L,Nup,Ndown,E,time(ms),time(sec),time(minutes),time(hours),
1,40,20,20,-154.5066412372507614,137618,137,,,
1,50,20,20,-157.1504294109127784,359777,359,5,0,
1,60,20,20,-158.5316378359118517,1033304,1033,17,0,
1,70,20,20,-159.3272649341386398,1093458,1093,18,0,
1,80,20,20,-159.8223883596812129,1477125,1477,24,0,
1,90,20,20,-160.1496902084090550,1903897,1903,31,0,
1,100,20,20,-160.3766341111433746,2226543,2226,37,0,
1,120,20,20,-160.6617144043068777,2795450,2795,46,0,
1,110,20,20,-160.5401478639148536,2872150,2872,47,0,
1,130,20,20,-160.7544801683226581,3369718,3369,56,0,
1,140,20,20,-160.8268388103848565,3551492,3551,59,0,
1,150,20,20,-160.8843454057661120,3587564,3587,59,0,
1,160,20,20,-160.9307916829758085,4031990,4031,67,1,
1,170,20,20,-160.9688352290409341,4349623,4349,72,1,
1,190,20,20,-161.0268306358456414,4992957,4992,83,1,
1,180,20,20,-161.0003828607022456,5072128,5072,84,1,
1,200,20,20,-161.0491871827015018,5243365,5243,87,1,
