W,L,Nup,Ndown,E,time(ms),time(sec),time(minutes),time(hours),
1,10,10,10,-38.4583494275956710,3339,3,0,0,
1,20,20,20,-77.1393281442521896,22098,22,0,0,
1,30,30,30,-115.8226586129459292,53717,53,0,0,
1,40,40,40,-154.5066412372507614,100272,100,1,0,
1,50,50,50,-193.1908977570650734,167062,167,2,0,
1,60,60,60,-231.8752953847038611,259874,259,4,0,
1,70,70,70,-270.5597753313261933,356447,356,5,0,
1,80,80,80,-309.2443075517246598,436607,436,7,0,
1,90,90,90,-347.9288750231394829,518624,518,8,0,
1,100,100,100,-386.6134674299204335,676758,676,11,0,
1,110,110,110,-425.2980781117283300,763375,763,12,0,
1,120,120,120,-463.9827025976173331,956148,956,15,0,
2,10,10,10,-79.0640939516375170,287256,287,4,0,
1,130,130,130,-502.6673377599009882,1044609,1044,17,0,
1,140,140,140,-541.3519813502216493,1147772,1147,19,0,
1,150,150,150,-580.0366317379337033,1370086,1370,22,0,
1,160,160,160,-618.7212876532499877,1462131,1462,24,0,
1,170,170,170,-657.4059481518951316,1889156,1889,31,0,
1,180,180,180,-696.0906124547682339,2070423,2070,34,0,
1,190,190,190,-734.7752799950599183,2299043,2299,38,0,
1,200,200,200,-773.4599502680188152,2363694,2363,39,0,
2,20,20,20,-158.5576850894365180,2663176,2663,44,0,
2,30,30,30,-238.0513056675564769,6162956,6162,102,1,
2,40,40,40,-317.5449267001231419,10879903,10879,181,3,
2,50,50,50,-397.0385477448615461,14367366,14367,239,3,
2,60,60,60,-476.5321687877791419,17601842,17601,293,4,
2,70,70,70,-556.0257898318914158,21733666,21733,362,6,
2,80,80,80,-635.5194108758801121,25085100,25085,418,6,
2,90,90,90,-715.0130319181439518,28247407,28247,470,7,
2,100,100,100,-794.5066529581417853,31763791,31763,529,8,
2,110,110,110,-874.0002740121856277,42916202,42916,715,11,
2,120,120,120,-953.4938950572468457,47214706,47214,786,13,
2,130,130,130,-1032.9875161010304510,53048217,53048,884,14,
2,140,140,140,-1112.4811371448968202,57279619,57279,954,15,
2,150,150,150,-1191.9747581879737481,59036198,59036,983,16,
2,160,160,160,-1271.4683792330972665,63221805,63221,1053,17,
2,170,170,170,-1350.9620002773554006,67812391,67812,1130,18,
2,180,180,180,-1430.4556213216085325,71206745,71206,1186,19,
2,190,190,190,-1509.9492423649217017,77632067,77632,1293,21,
2,200,200,200,-1589.4428634095231700,81455598,81455,1357,22,
