W,L,Nup,Ndown,E,time(ms),time(sec),time(minutes),time(hours),
1,10,4,4,-31.2854528428466061,3995,3,0,0,
2,10,4,4,-33.8948928119952484,66026,66,1,0,
1,20,8,8,-62.7507047105071294,105326,105,1,0,
1,30,12,12,-94.2170508377227236,246676,246,4,0,
1,40,16,16,-125.6836821610674093,268223,268,4,0,
1,50,20,20,-157.1504294109127784,383352,383,6,0,
1,60,24,24,-188.6172351276304937,656049,656,10,0,
1,70,28,28,-220.0840744393460113,1037904,1037,17,0,
1,80,32,32,-251.5509348271873762,1372855,1372,22,0,
1,90,36,36,-283.0178092992592269,2051175,2051,34,0,
1,100,40,40,-314.4846936636274677,2845096,2845,47,0,
2,20,8,8,-68.0098930252472229,3386132,3386,56,0,
1,110,44,44,-345.9515852229748134,3883063,3883,64,1,
1,120,48,48,-377.4184821954935387,4860994,4860,81,1,
2,30,12,12,-102.1234388038243992,5882977,5882,98,1,
1,130,52,52,-408.8853833336204389,6039134,6039,100,1,
1,140,56,56,-440.3522877411041350,6211884,6211,103,1,
1,150,60,60,-471.8191947716066466,8185599,8185,136,2,
1,160,64,64,-503.2861039464585247,9676136,9676,161,2,
2,40,16,16,-136.2365992732598272,9798136,9798,163,2,
1,170,68,68,-534.7530137588545358,11796195,11796,196,3,
1,180,72,72,-566.2070592427239717,14396377,14396,239,3,
1,190,76,76,-597.6858204192379844,15881693,15881,264,4,
1,200,80,80,-629.1459192020319051,17275243,17275,287,4,
2,50,20,20,-170.3496027144822165,17480760,17480,291,4,
2,60,24,24,-204.4625269096859768,28853841,28853,480,8,
2,70,28,28,-238.5754055515015182,47636327,47636,793,13,
2,80,32,32,-272.6882556279067558,74601510,74601,1243,20,
2,90,36,36,-306.8010865939916130,117723346,117723,1962,32,
2,100,40,40,-340.9139041634256273,165049430,165049,2750,45,
2,110,44,44,-375.0267119658337833,213099114,213099,3551,59,
