W,L,Nup,Ndown,E,time(ms),time(sec),
1,10,0,0,0.0000000000000000,16,0,
1,10,2,0,-3.6014930128913525,141,0,
1,10,1,0,-1.9189859472286497,93,0,
1,10,3,0,-4.9112144807819220,208,0,
1,10,4,0,-5.7420445059127099,215,0,
1,10,5,0,-6.0266741819591800,217,0,
1,10,6,0,-5.7420445059127054,230,0,
1,10,7,0,-4.9112144807819282,201,0,
1,10,8,0,-3.6014930128913516,181,0,
1,10,9,0,-1.9189859472289885,127,0,
1,10,10,0,0.0000000000000000,27,0,
1,10,1,1,-8.0372218250203602,562,0,
1,10,2,1,-9.9313056953273069,1147,1,
1,10,3,1,-11.5417292628797696,1718,1,
1,10,4,1,-12.7251309900803431,1789,1,
1,10,5,1,-13.3869747130785477,1896,1,
1,10,6,1,-13.4833693332327176,1785,1,
1,10,7,1,-13.0190136787235460,1660,1,
1,10,8,1,-12.0421669132539719,1129,1,
1,10,9,1,-10.6371270796144692,319,0,
1,10,1,1,-8.0372218250203602,515,0,
1,10,2,2,-15.9866478151279896,1770,1,
1,10,3,3,-23.7667017372457394,3106,3,
1,10,4,4,-31.2854528428465599,4032,4,
1,10,5,5,-38.4583494275956710,3325,3,
1,10,5,0,-6.0266741819591800,148,0,
1,10,4,1,-12.7251309900803431,1703,1,
1,10,3,2,-17.8290766340375555,3093,3,
1,10,0,5,-6.0266741819591800,224,0,
1,10,1,4,-12.7251309900803431,2014,2,
1,10,2,3,-17.8290766340375555,3103,3,
1,10,10,0,0.0000000000000000,11,0,
1,10,9,1,-10.6371270796144692,254,0,
1,10,8,2,-20.1166099325858063,1536,1,
1,10,7,3,-27.9859880465449322,2475,2,
1,10,6,4,-34.0489837826603221,3614,3,
1,10,5,5,-38.4583494275956710,3794,3,
1,10,1,9,-10.6371270796144692,360,0,
1,10,3,7,-27.9859880465449322,2578,2,
1,10,2,8,-20.1166099325858063,1585,1,
1,10,4,6,-34.0489837826603292,3687,3,
1,10,0,10,0.0000000000000000,17,0,
2,10,10,0,-13.8224289597483470,1747,1,
2,10,0,10,-13.8224289597483470,1979,1,
2,10,20,0,0.0000000000000000,29,0,
2,10,19,1,-12.6905885633000963,745,0,
2,10,18,2,-24.5510286350729281,3372,3,
2,10,1,19,-12.6905885633000963,744,0,
2,10,0,20,0.0000000000000000,56,0,
2,10,17,3,-35.3150207903850273,10116,10,
2,10,2,18,-24.5510286350729281,3331,3,
2,10,3,17,-35.3150207903850273,9191,9,
2,10,16,4,-44.8188319558218424,25308,25,
2,10,4,16,-44.8188319557422759,22300,22,
2,10,1,1,-8.6922571101278443,1397,1,
2,10,2,2,-17.2886896241907948,6216,6,
2,10,3,3,-25.7110534562185791,22108,22,
2,10,9,1,-21.6096653147176063,88752,88,
2,10,1,9,-21.6096653147179545,106656,106,
2,10,15,5,-53.0004145190304854,97577,97,
2,10,5,15,-53.0004145190305849,96449,96,
2,10,4,4,-33.8948928112394086,80454,80,
2,10,1,1,-8.6922571101278514,1371,1,
2,10,1,1,-8.6922571101278372,1672,1,
2,10,2,2,-17.2886896241907948,5119,5,
2,10,2,1,-11.5476914707297489,3448,3,
2,10,3,1,-14.1124315352739789,5901,5,
2,10,19,1,-12.6905885633001194,779,0,
2,10,18,1,-15.2119179499917401,2042,2,
2,10,17,1,-17.3513668896802251,3596,3,
2,10,16,1,-19.0115491162858561,4858,4,
2,10,4,1,-16.2441145566796088,9650,9,
2,10,15,1,-20.1305128384857959,7491,7,
2,10,5,5,-41.8275577430295300,225792,225,
2,10,8,2,-28.6187436950200507,230729,230,
2,10,3,3,-25.7110534562185791,22358,22,
2,10,2,8,-28.6187436950200507,230437,230,
2,10,1,0,-2.9189859472226112,181,0,
2,10,2,0,-5.6014930128912503,300,0,
2,10,3,0,-7.9112144807818243,445,0,
2,10,4,0,-9.7420445058927214,513,0,
2,10,12,0,-13.3435375184220248,1761,1,
2,10,8,0,-13.3435375184220497,1902,1,
2,10,5,0,-11.0266741809517086,956,0,
2,10,14,0,-11.9456601296585507,1496,1,
2,10,6,0,-11.9456601296559874,1654,1,
2,10,15,0,-11.0266741815809297,1078,1,
2,10,10,0,-13.8224289597483470,2168,2,
2,10,16,0,-9.7420445058981944,496,0,
2,10,11,0,-13.6532589844914991,6191,6,
2,10,17,0,-7.9112144807815277,418,0,
2,10,13,0,-12.6610304142625836,4895,4,
2,10,18,0,-5.6014930128913365,342,0,
2,10,9,0,-13.6532589844963272,5504,5,
2,10,19,0,-2.9189859472289958,248,0,
2,10,20,0,0.0000000000000000,61,0,
2,10,7,0,-12.6610304176792798,12464,12,
2,10,6,1,-19.3572334933467580,35639,35,
2,10,14,1,-20.8901647476270362,38309,38,
2,10,7,1,-20.3140138572393667,51704,51,
2,10,13,1,-21.4434761567227241,60032,60,
2,10,12,1,-21.9239352436513038,64156,64,
2,10,5,5,-41.8275577431507273,224290,224,
2,10,8,1,-21.1297712358442773,76036,76,
2,10,5,1,-17.8652448209399282,71329,71,
2,10,4,4,-33.8948928119952484,81179,81,
2,10,11,1,-22.0173646939826959,79848,79,
2,10,10,1,-22.0070175373894727,85779,85,
2,10,9,1,-21.6096653147179545,93922,93,
2,10,10,10,-79.0640939516375170,342689,342,
2,10,18,18,-79.0640939516375170,328262,328,
2,10,19,19,-79.0640939516377728,328769,328,
2,10,20,20,-79.0640939516375170,328459,328,
2,10,10,10,-79.0640939516375170,348442,348,
2,10,11,11,-79.0640939516375170,348364,348,
2,10,12,12,-79.0640939516375170,348425,348,
2,10,13,13,-79.0640939516375170,348748,348,
2,10,14,14,-79.0640939516375170,348634,348,
2,10,15,15,-79.0640939516375170,348463,348,
2,10,16,16,-79.0640939516377728,348753,348,
2,10,17,17,-79.0640939516375170,348388,348,
2,10,5,5,-41.8275577431507273,225060,225,
2,10,19,19,-79.0640939516375170,318051,318,
2,10,20,20,-79.0640939516375170,317804,317,
2,10,10,10,-79.0640939516375170,338667,338,
2,10,11,11,-79.0640939516375170,338624,338,
2,10,12,12,-79.0640939516375170,339148,339,
2,10,13,13,-79.0640939516375170,338965,338,
2,10,14,14,-79.0640939516377728,338990,338,
2,10,15,15,-79.0640939516375170,338734,338,
2,10,16,16,-79.0640939516375170,338714,338,
2,10,17,17,-79.0640939516375170,338839,338,
2,10,18,18,-79.0640939516375170,338554,338,
2,10,6,6,-49.5644914181022784,634549,634,
2,10,6,6,-49.5644914181022784,630972,630,
2,10,7,7,-57.1466623550761383,994707,994,
2,10,7,7,-57.1466623550655157,989089,989,
2,10,8,8,-64.5854547005363457,1444463,1444,
2,10,8,8,-64.5854547005363457,1445038,1445,
2,10,9,9,-71.8860422264080228,1714889,1714,
2,10,9,9,-71.8860422264080228,1717710,1717,
2,10,9,11,-75.2532151267100460,3537436,3537,
2,10,11,9,-75.2532151267100460,3552459,3552,
2,10,4,6,-38.2574398273160341,4081896,4081,
2,10,6,4,-38.2574398273160341,4084501,4084,
2,10,12,8,-70.8706776852887685,4696864,4696,
2,10,8,12,-70.8706776852887543,4840937,4840,
2,10,3,7,-33.9399051815705803,5267243,5267,
2,10,7,3,-33.9399051815705803,5276756,5276,
2,10,13,7,-65.7117895528062377,5685860,5685,
2,10,7,13,-65.7117895528062377,5871967,5871,
2,10,14,6,-59.7370432666400575,7851024,7851,
2,10,6,14,-59.7370432666411162,8145712,8145,
