W,L,Nup,Ndown,E,time(ms), time(sec),
1,40,1,0,-1.9941315994708102,572,0,
1,40,2,0,-3.9706924476071608,881,0,
1,40,35,0,-9.6798809814419364,2498,2,
1,40,36,0,-7.8248760799735608,2003,2,
1,40,3,0,-5.9180832971812514,1457,1,
1,40,37,0,-5.9180832971387023,1654,1,
1,40,33,0,-13.1913513070879276,3833,3,
1,40,34,0,-11.4722120937649024,2944,2,
1,40,38,0,-3.9706924494640976,1266,1,
1,40,4,0,-7.8248760803146453,1742,1,
1,40,39,0,-1.9941316004469840,604,0,
1,40,40,0,0.0000000000000000,71,0,
1,40,5,0,-9.6798809814475746,2306,2,
1,40,6,0,-11.4722120937217973,2604,2,
1,40,7,0,-13.1913513071079187,3263,3,
1,40,26,0,-22.3969085287565726,8536,8,
1,40,27,0,-21.4414688931202164,7813,7,
1,40,25,0,-23.2150458040379704,9861,9,
1,40,28,0,-20.3543337933664468,7546,7,
1,40,31,0,-16.3701883861036954,4757,4,
1,40,8,0,-14.8272100274401186,3846,3,
1,40,29,0,-19.1418829726449786,7043,7,
1,40,32,0,-14.8272100274415344,4207,4,
1,40,30,0,-17.8112315727639228,6521,6,
1,40,9,0,-16.3701883860759949,4782,4,
1,40,10,0,-17.8112315728382455,5182,5,
1,40,11,0,-19.1418829726439590,5821,5,
1,40,12,0,-20.3543337933674522,7410,7,
1,40,13,0,-21.4414688930673947,7341,7,
1,40,14,0,-22.3969085287059748,8442,8,
1,40,15,0,-23.2150458040562704,9141,9,
1,40,17,0,-24.4210425635732982,10419,10,
1,40,16,0,-23.8910795596441830,12083,12,
1,40,18,0,-24.8018247819223596,11647,11,
1,40,19,0,-25.0311916321733285,11100,11,
1,40,20,0,-25.1077970993072768,10247,10,
1,40,21,0,-25.0311916322831181,12090,12,
1,40,23,0,-24.4210425634943746,10156,10,
1,40,22,0,-24.8018247818758226,11654,11,
1,40,24,0,-23.8910795595774914,10463,10,
1,40,39,1,-10.9714878069253494,2738,2,
1,40,40,1,-10.9714878069778230,2727,2,
1,40,1,1,-8.0607162155136969,13553,13,
1,40,2,1,-10.0544151002247126,36721,36,
1,40,38,1,-12.9213610441204327,50359,50,
1,40,3,1,-12.0295274665847032,60676,60,
1,40,37,1,-14.8327472980767006,67308,67,
1,40,4,1,-13.9738186988795086,76495,76,
1,40,36,1,-16.6949268780870455,81017,81,
1,40,35,1,-18.4974303804447544,95449,95,
1,40,5,1,-15.8752792490849561,100443,100,
1,40,34,1,-20.2300804824460059,109395,109,
1,40,33,1,-21.8830447857184716,125530,125,
1,40,6,1,-17.7222077428916194,121419,121,
1,40,31,1,-24.9126407773808900,137759,137,
1,40,32,1,-23.4468906463665334,136872,136,
1,40,7,1,-19.5032902422686973,142166,142,
1,40,29,1,-27.5165449233234938,156937,156,
1,40,30,1,-26.2718273310840971,157674,157,
1,40,8,1,-21.2076732057903357,156123,156,
1,40,9,1,-22.8250303824989231,176529,176,
1,40,28,1,-28.6395011658233862,181946,181,
1,40,27,1,-29.6340652484916660,186789,186,
1,40,26,1,-30.4943115447767781,195441,195,
1,40,25,1,-31.2150615635616511,198232,198,
1,40,10,1,-24.3456241913676124,202355,202,
1,40,12,1,-27.0608361669893434,206692,206,
1,40,11,1,-25.7603600179495906,208780,208,
1,40,13,1,-28.2393872751958135,217994,217,
1,40,22,1,-32.5004826133961302,214309,214,
1,40,23,1,-32.2213056908272932,213840,213,
1,40,17,1,-31.6088298290490890,222741,222,
1,40,24,1,-31.7919196239371011,218106,218,
1,40,14,1,-29.2891230164346439,230482,230,
1,40,15,1,-30.2039618731160004,230777,230,
1,40,21,1,-32.6275783584649162,225163,225,
1,40,16,1,-30.9786589029038986,239435,239,
1,40,18,1,-32.0909694813555078,239120,239,
1,40,20,1,-32.6016037883734384,237201,237,
1,40,19,1,-32.4224648029715397,240515,240,
2,40,1,0,-2.9941316016969175,1490,1,
2,40,2,0,-5.9706924491563562,2821,2,
2,40,3,0,-8.9180832961205763,3227,3,
2,40,4,0,-11.8248760794612124,3780,3,
2,40,5,0,-14.6798809793524860,5081,5,
2,40,6,0,-17.4722120891324160,6001,6,
2,40,7,0,-20.1913513005363470,6824,6,
2,40,8,0,-22.8272100196268859,9499,9,
2,40,9,0,-25.3701883776822861,10744,10,
2,40,10,0,-27.8112315639046059,13815,13,
2,40,11,0,-30.1418829603934029,16551,16,
