W,L,Nup,Ndown,E,time(ms),time(sec)
1,20,5,0,-8.8093262903831384,652,0
1,40,5,0,-9.6798809814476172,2052,2
1,60,5,0,-9.8546905400290186,3528,3
1,80,5,0,-9.9174488188451111,5491,5
1,100,5,0,-9.9468630744299418,7774,7
1,120,5,0,-9.9629611501331539,10270,10
1,140,5,0,-9.9727162180001550,12813,12
1,160,5,0,-9.9790701600036442,15555,15
1,180,5,0,-9.9834380379483285,19531,19
1,200,5,0,-9.9865688273820457,22614,22
1,20,6,1,-16.7410205639315848,21023,21
1,40,6,1,-17.7222077395655084,93807,93
1,60,6,1,-17.9106160052746120,182270,182
1,80,6,1,-17.9769054698218085,279541,279
1,100,6,1,-18.0076281889278285,363530,363
1,120,6,1,-18.0243230141405704,479917,479
1,140,6,1,-18.0343898904827071,557312,557
1,160,6,1,-18.0409231468792299,684740,684
1,180,6,1,-18.0454017873349635,850606,850
1,200,6,1,-18.0486049504699899,1003898,1003
2,20,5,0,-13.8093262881921586,1470,1
2,40,5,0,-14.6798809793524470,3754,3
2,60,5,0,-14.8546905354684711,6825,6
2,80,5,0,-14.9174488147899780,10341,10
2,100,5,0,-14.9468630635218496,14289,14
2,120,5,0,-14.9629611220631809,18755,18
2,140,5,0,-14.9727161792951939,23489,23
2,160,5,0,-14.9790701252652134,28895,28
2,180,5,0,-14.9834379897627912,36723,36
2,200,5,0,-14.9865687602615267,42509,42
2,20,6,1,-22.3003533044174560,87492,87
2,40,6,1,-23.3446891491876087,229954,229
2,60,6,1,-23.5486868619477967,429530, 429
2,80,6,1,-23.6216373731635265,627980,627
2,100,6,1,-23.6559916303286570,847868,847
2,120,6,1,-23.6749454388056613,1113308,1113
2,140,6,1,-23.6865374846945116,1392879,1392
2,160,6,1,-23.6941595470138324,1711037,1711
2,180,6,1,-23.6994476125901485,2091794,2091
2,200,6,1,-23.7032713400007928,2550805,2550
3,20,5,0,-15.8803940986122480,2113,2
3,40,5,0,-16.7509487871154619,5223,5
3,60,5,0,-16.9257583421172981,8611,8
3,80,5,0,-16.9885166136044532,13614,13
3,100,5,0,-17.0179308471414252,19458,19
3,120,5,0,-17.0340289132918699,26273,26
3,140,5,0,-17.0437839599523713,33645,33
3,160,5,0,-17.0501379042726313,41976,41
3,180,5,0,-17.0545057603669008,51037,51
3,200,5,0,-17.0576365501988541,61080,61
