W,L,Nup,Ndown,E,time(ms),time(sec)
1,40,5,0,-9.6798809814475550,3341,3
2,40,5,0,-14.6798809793525287,4740,4
3,40,5,0,-16.7509487871154370,6646,6
4,40,5,0,-17.7700509155902466,10271,10
5,40,5,0,-18.3401350076083318,13547,13
6,40,5,0,-18.6895696417763979,18450,18
7,40,5,0,-18.9186762831896083,29773,29
8,40,5,0,-19.0768071616167809,41015,41
9,40,5,0,-19.1904461203027665,64101,64
10,40,5,0,-19.2748106866863367,99501,99
1,40,6,1,-17.7222076843696357,117790,117
2,40,6,1,-23.3446891299774002,284959,284
3,40,6,1,-25.7456572437255780,699141,699
4,40,6,1,-26.9032427447478426,1424769,1424
5,40,6,1,-27.5398299381777427,2987029,2987
6,40,6,1,-27.9246439607017223,5368919,5368
7,40,6,1,-28.1742366084636444,11430383,11430
8,40,6,1,-28.3451691330627682,20464458,20464
9,40,6,1,-28.4674472879685929,38914815,38914
10,40,6,1,-28.5581739904847467,84929384,84929

