E(2,0)=-7.97069244993 te=-1.38777878078e-17 
E(1,0)=-3.99413160237 te=-1.66533453694e-16 
E(3,0)=-11.9180832977 te=1.60028240659e-16 
E(4,0)=-15.8248760818 te=-4.48032995252e-16 
E(16,0)=-55.8910795707 te=1.02633969724e-15 
E(18,0)=-60.8018247934 te=5.56219971482e-16 
E(15,0)=-53.2150458139 te=-8.26488580046e-16 
E(5,0)=-19.679880984 te=5.69614205295e-16 
E(14,0)=-50.3969085396 te=8.74737776908e-16 
E(20,0)=-65.1077971116 te=1.55454345556e-15 
E(12,0)=-44.3543338025 te=-4.64655732342e-16 
E(11,0)=-41.1418829806 te=4.19606253415e-16 
E(13,0)=-47.4414689025 te=7.16099954355e-16 
E(9,0)=-34.3701883931 te=-3.52929024389e-17 
E(8,0)=-30.8272100334 te=6.9217394714e-16 
E(6,0)=-23.4722120979 te=2.49053960815e-16 
E(17,0)=-58.4210425751 te=4.48459446328e-16 
E(7,0)=-27.1913513119 te=3.30700897291e-16 
E(19,0)=-63.0311916442 te=8.78489161405e-16 
E(10,0)=-37.8112315803 te=-9.96177470531e-16 
E(21,0)=-67.0311916442 te=9.51024844843e-16 
E(22,0)=-68.8018247934 te=2.28398409525e-16 
E(23,0)=-70.4210425751 te=1.06179576546e-16 
E(24,0)=-71.8910795707 te=1.02306576108e-15 
E(36,0)=-84.0040805431 te=1.36314942676e-10 
E(35,0)=-83.0972910122 te=4.30084917369e-11 
E(41,0)=-88.0862750414 te=4.71710772726e-10 
E(27,0)=-75.4414688891 te=3.19979519874e-15 
E(44,0)=-90.1938841077 te=1.73460558646e-09 
E(34,0)=-82.1904996274 te=1.11519416653e-11 
E(38,0)=-85.7140798018 te=3.31210917983e-10 
E(43,0)=-89.5245314745 te=5.80883442574e-10 
E(32,0)=-80.3302446059 te=3.95891293347e-13 
E(42,0)=-88.8054080962 te=2.67423833054e-09 
E(46,0)=-91.4655771492 te=3.35234382906e-09 
E(45,0)=-90.8297375416 te=4.09472503626e-09 
E(49,0)=-93.110466662 te=3.76677892759e-10 
E(53,0)=-94.8137184675 te=3.00857702911e-09 
E(52,0)=-94.4495639548 te=2.79637149989e-09 
E(50,0)=-93.5675023057 te=2.9151563314e-09 
E(56,0)=-95.7558765174 te=2.69106450798e-09 
E(48,0)=-92.5675125344 te=3.65524912235e-09 
E(33,0)=-81.2776346793 te=2.35762875427e-11 
E(60,0)=-96.5334752637 te=1.02566079274e-09 
E(51,0)=-94.0085412905 te=5.44939395681e-09 
E(54,0)=-95.1443689782 te=4.40285349988e-09 
E(55,0)=-95.4749980036 te=7.60736366933e-10 
E(59,0)=-96.3884541123 te=1.54328608088e-09 
E(30,0)=-78.4062929267 te=1.60772566222e-16 
E(47,0)=-92.0245416852 te=2.31490747175e-09 
E(40,0)=-87.2987251889 te=1.03363843852e-09 
E(39,0)=-86.506405546 te=1.39696367167e-09 
E(57,0)=-95.9683321861 te=6.23730985093e-09 
E(58,0)=-96.1807588739 te=1.7842223244e-09 
E(28,0)=-76.4355954175 te=1.45181052809e-15 
E(25,0)=-73.2150458139 te=-1.1834859198e-15 
E(29,0)=-77.4297317022 te=6.9588878827e-16 
E(31,0)=-79.3828538013 te=2.74426796597e-16 
E(37,0)=-84.8590813116 te=4.32979615869e-10 
E(26,0)=-74.3969085396 te=6.45031730065e-16 

