E(2,0)=-6.79911957467 te=1.38777878078e-16 
E(1,0)=-3.40834516474 te=-1.11022302463e-16 
E(3,0)=-10.1607239848 te=6.63531729561e-17 
E(4,0)=-13.4817303313 te=-1.0785439924e-16 
E(5,0)=-16.7509487959 te=5.98389879894e-16 
E(7,0)=-23.0908462485 te=3.69098728062e-16 
E(8,0)=-26.1409185324 te=6.61533787005e-16 
E(13,0)=-39.8262452134 te=7.86744656126e-16 
E(14,0)=-42.1958984128 te=7.86038122115e-16 
E(15,0)=-44.4282492495 te=-1.01021118016e-15 
E(11,0)=-34.6982321667 te=6.72865284326e-16 
E(10,0)=-31.953367204 te=-9.25103219425e-16 
E(6,0)=-19.9574934722 te=-7.89414410931e-17 
E(12,0)=-37.324896551 te=-6.09990668062e-16 
E(9,0)=-29.0981104544 te=-4.30443828569e-16 
E(20,0)=-54.3807564331 te=-1.18525796757e-15 
E(19,0)=-52.4365795495 te=2.01598196812e-15 
E(17,0)=-48.5126281652 te=1.25358859634e-15 
E(18,0)=-50.4891890186 te=3.00124316361e-16 
E(16,0)=-46.5184965687 te=1.31984584751e-15 
E(21,0)=-56.2875492172 te=1.89137808688e-17 
E(22,0)=-58.1425541194 te=4.95299634155e-15 
E(23,0)=-59.9375486748 te=-4.40989168925e-16 
E(25,0)=-63.4490202272 te=8.86661855993e-14 
E(38,0)=-80.2291135851 te=3.00630884025e-13 
E(28,0)=-68.271437719 te=2.45034358275e-13 
E(34,0)=-76.2688569546 te=2.80472197988e-13 
E(27,0)=-66.7284593607 te=1.72373361849e-13 
E(40,0)=-81.7854306604 te=1.70352329403e-13 
E(29,0)=-69.7622567482 te=1.83975601357e-13 
E(36,0)=-78.3894233947 te=2.69537025693e-13 
E(37,0)=-79.3448630276 te=6.5184986246e-13 
E(31,0)=-72.5409080253 te=7.17670210699e-13 
E(33,0)=-75.0840102443 te=6.95956861393e-13 
E(30,0)=-71.2032999332 te=2.14468215871e-13 
E(39,0)=-81.047250856 te=5.66908193872e-13 
E(35,0)=-77.355992051 te=5.81334136623e-13 
E(24,0)=-61.7298810137 te=3.51683811893e-14 
E(26,0)=-65.0926006395 te=1.67440144919e-13 
E(41,0)=-82.4614644102 te=5.41621704466e-13 
E(32,0)=-73.8715594256 te=2.69711720743e-13 
E(50,0)=-87.0357722674 te=1.53949375641e-08 
E(49,0)=-86.6549967966 te=6.56893256268e-09 
E(42,0)=-83.0575405176 te=1.15810370209e-12 
E(48,0)=-86.2142309469 te=4.96112908121e-09 
E(46,0)=-85.2629052943 te=6.76110511527e-09 
E(43,0)=-83.6374573994 te=1.43609325996e-11 
E(45,0)=-84.7297586118 te=1.01337928135e-09 
E(47,0)=-85.7554557782 te=1.27512802275e-08 
E(44,0)=-84.199792926 te=3.0915774085e-10 
E(61,0)=-88.9875307001 te=3.35184756014e-08 
E(56,0)=-88.6986044375 te=2.69044855232e-08 
E(51,0)=-87.4138672142 te=2.98355731515e-08 
E(60,0)=-89.0143456314 te=3.48430802451e-08 
E(57,0)=-88.8273524422 te=2.47401485278e-08 
E(59,0)=-88.9875309785 te=3.38652817129e-08 
E(69,0)=-87.4138674065 te=2.97933300156e-08 
E(58,0)=-88.910926126 te=3.89758626443e-08 
E(70,0)=-87.0357734015 te=1.55939830542e-08 
E(68,0)=-87.7409489434 te=1.55124395407e-08 
E(67,0)=-88.0458503163 te=1.57944114642e-08 
E(65,0)=-88.496835244 te=3.96120287075e-08 
E(53,0)=-88.0458499326 te=1.54644875957e-08 
E(63,0)=-88.8273528073 te=2.82533344382e-08 
E(62,0)=-88.9109254494 te=3.91434272413e-08 
E(64,0)=-88.6986043137 te=2.68651450779e-08 
E(66,0)=-88.2752129104 te=3.39812893216e-08 
E(52,0)=-87.7409491373 te=1.45907233708e-08 
E(54,0)=-88.2752124561 te=3.40818651615e-08 
E(73,0)=-85.7554963809 te=5.67347759307e-09 
E(79,0)=-82.4614644354 te=2.80267389047e-13 
E(72,0)=-86.2142857828 te=1.08605461042e-09 
E(77,0)=-83.6374583764 te=5.71362903881e-12 
E(80,0)=-81.7854306811 te=5.48971699771e-14 
E(74,0)=-85.2629300375 te=1.96683716729e-09 
E(78,0)=-83.0575404714 te=2.33695033993e-13 
E(75,0)=-84.7298835631 te=1.0912415647e-09 
E(76,0)=-84.1998015577 te=9.68219194995e-11 
E(81,0)=-81.0472508798 te=4.40590781813e-14 
E(82,0)=-80.2291136058 te=1.50835896195e-14 
E(85,0)=-77.355992067 te=4.79171326378e-14 
E(88,0)=-73.8715594341 te=1.83130114724e-14 
E(83,0)=-79.3448630478 te=4.9288586875e-14 
E(84,0)=-78.389423411 te=2.2811316998e-14 
E(86,0)=-76.2688569673 te=2.0647738088e-14 
E(87,0)=-75.0840102558 te=3.75030662847e-14 
E(90,0)=-71.203299939 te=1.40175327838e-14 
E(71,0)=-86.6549967538 te=6.60048600419e-09 
E(89,0)=-72.5409080339 te=2.98620695257e-14 
E(55,0)=-88.4968354175 te=3.91303590352e-08 
E(118,0)=-6.79911957467 te=-5.6898930012e-16 
E(117,0)=-10.1607239848 te=3.71664504728e-16 
E(116,0)=-13.4817303313 te=8.01598099964e-17 
E(92,0)=-68.2714377222 te=8.97178705866e-15 
E(115,0)=-16.7509487959 te=5.61697167008e-16 
E(94,0)=-65.0926006412 te=3.37938913957e-15 
E(91,0)=-69.7622567519 te=9.58839150058e-15 
E(100,0)=-54.3807564331 te=-2.78136285548e-15 
E(95,0)=-63.449020228 te=4.48303081406e-15 
E(99,0)=-56.2875492173 te=1.75791483356e-15 
E(97,0)=-59.9375475527 te=1.70562946038e-15 
E(101,0)=-52.433445673 te=2.92755513724e-15 
E(96,0)=-61.7298810141 te=2.66404269911e-15 
E(98,0)=-58.1425541195 te=8.8855287102e-16 
E(112,0)=-26.1409185324 te=5.62183329964e-16 
E(102,0)=-50.4891890186 te=1.74450134849e-15 
E(93,0)=-66.7284593627 te=4.95796608744e-15 
E(113,0)=-23.0908462485 te=4.65730158917e-16 
E(114,0)=-19.9574934722 te=1.06079366028e-16 
