E(4,0)=-10.6533032065 te=4.033909708e-17 
E(8,0)=-20.4840642829 te=7.61178893873e-16 
E(7,0)=-18.1410987802 te=2.36516254229e-17 
E(6,0)=-15.714852785 te=3.65641125802e-17 
E(5,0)=-13.2154148899 te=3.33706681961e-16 
E(14,0)=-32.8381408713 te=8.56638724624e-16 
E(10,0)=-24.8822993921 te=-4.77367172965e-16 
E(9,0)=-22.7341494238 te=-9.55946656614e-17 
E(15,0)=-34.7576984214 te=5.2573060386e-16 
E(19,0)=-42.1060691558 te=1.75024005601e-14 
E(16,0)=-36.6644912586 te=1.10023986408e-15 
E(20,0)=-43.8252083697 te=7.60777704234e-14 
E(18,0)=-40.3137167258 te=2.81615444607e-15 
E(13,0)=-30.8907500236 te=-1.86425264762e-16 
E(17,0)=-38.5194961608 te=1.68836558853e-15 
E(11,0)=-26.9200575736 te=1.39410259146e-15 
E(12,0)=-28.9141891746 te=2.43826607301e-15 
E(24,0)=-50.1918359231 te=3.80226416797e-13 
E(27,0)=-54.3466707768 te=1.43318327212e-12 
E(26,0)=-53.0160195814 te=6.01423604567e-13 
E(22,0)=-47.123613509 te=1.5188042178e-13 
E(21,0)=-45.4877547878 te=6.73433183363e-14 
E(25,0)=-51.6328790803 te=6.62717343426e-13 
E(23,0)=-48.6665918679 te=3.79956582519e-13 
E(37,0)=-66.2007108724 te=6.43946377771e-08 
E(33,0)=-61.7926079496 te=2.59873131135e-08 
E(34,0)=-62.940491642 te=3.89530543698e-08 
E(41,0)=-70.0333552125 te=1.1486033676e-07 
E(38,0)=-67.2127254823 te=8.81139848983e-08 
E(44,0)=-72.4710389488 te=1.5960705223e-07 
E(36,0)=-65.1135793965 te=4.45726982809e-08 
E(39,0)=-68.1681559519 te=5.31855309693e-08 
E(43,0)=-71.6873317917 te=7.44337453947e-08 
E(35,0)=-64.028262902 te=3.73386952884e-08 
E(48,0)=-75.134993108 te=2.43849292249e-07 
E(45,0)=-73.2049520892 te=2.28184020709e-07 
E(32,0)=-60.5929373315 te=1.19329151874e-08 
E(31,0)=-59.3804891506 te=7.5094615613e-09 
E(40,0)=-69.1046229762 te=9.7730383769e-08 
E(46,0)=-73.8809746966 te=1.05197013886e-07 
E(30,0)=-58.1402448637 te=5.62095519266e-09 
E(42,0)=-70.8692046916 te=1.64729911119e-07 
E(47,0)=-74.5114729575 te=1.83195242377e-07 
E(49,0)=-75.6649478396 te=7.30313555454e-08 
E(29,0)=-56.9031463229 te=1.76955443398e-09 
E(54,0)=-77.7351163588 te=2.86596967611e-07 
E(57,0)=-78.3899459941 te=3.46379573108e-07 
E(58,0)=-78.5009727037 te=2.89834228772e-07 
E(52,0)=-77.0280621693 te=2.80939845892e-07 
E(28,0)=-55.6336955616 te=1.25087852751e-10 
E(55,0)=-77.9834416666 te=2.95996694166e-07 
E(60,0)=-78.6086502337 te=3.08682487754e-07 
E(51,0)=-76.6480081809 te=3.11692552227e-07 
E(56,0)=-78.2128040425 te=2.66855595707e-07 
E(50,0)=-76.1702755209 te=2.28696310888e-07 
E(53,0)=-77.4087996886 te=2.53189639627e-07 
E(59,0)=-78.5775741918 te=2.67078681766e-07 
