E(1,1)=-9.05374010368 te=-4.4408920985e-16 
E(3,3)=-27.1399731508 te=1.37455151428e-15 
E(8,8)=-72.0087086938 te=3.03699169883e-12 
E(9,9)=-80.8797995915 te=6.48098069803e-12 
E(10,10)=-89.7036592399 te=1.91004085814e-11 
E(7,7)=-63.0958725079 te=8.23743882394e-13 
E(6,6)=-54.1469730085 te=3.56449378693e-13 
E(5,5)=-45.1676982509 te=2.78517038752e-14 
E(4,4)=-36.1635970945 te=1.11924731365e-15 
E(11,11)=-98.475237748 te=4.39612891787e-12 
E(2,2)=-18.1018126883 te=1.67227343084e-15 
E(14,14)=-124.438858551 te=4.37717465389e-11 
E(13,13)=-115.845349909 te=2.20240428244e-11 
E(102,1)=-60.384173551 te=2.50201498805e-12 
E(15,15)=-132.970774128 te=3.22806502069e-11 
E(12,12)=-107.190215357 te=2.83219248669e-12 
E(30,30)=-255.84805248 te=3.7518540195e-08 
E(31,31)=-263.781167359 te=4.83878569264e-08 
E(36,36)=-302.978682062 te=1.18374040911e-07 
E(16,16)=-141.443144036 te=7.62664228324e-11 
E(17,17)=-149.859875468 te=1.60188707496e-10 
E(34,34)=-287.393432537 te=8.62994846988e-08 
E(19,19)=-166.547160586 te=6.88888369198e-10 
E(35,35)=-295.201642526 te=1.02327318626e-07 
E(20,20)=-174.827829336 te=1.25822869165e-09 
E(21,21)=-183.071832077 te=2.26390245195e-09 
E(22,22)=-191.281849847 te=3.44400029326e-09 
E(33,33)=-279.553948675 te=7.46372271661e-08 
E(23,23)=-199.459652973 te=5.58563752351e-09 
E(24,24)=-207.606324155 te=7.57581632853e-09 
E(64,1)=-97.4689103186 te=3.81704884844e-07 
E(38,38)=-318.440210927 te=1.68621463903e-07 
E(32,32)=-271.683174243 te=5.54939274005e-08 
E(26,26)=-223.808318247 te=1.41885533196e-08 
E(27,27)=-231.86394257 te=1.99671260286e-08 
E(37,37)=-310.724753915 te=1.37638499247e-07 
E(29,29)=-247.884004988 te=3.25331336991e-08 
E(39,39)=-326.125727704 te=1.8430111067e-07 
E(18,18)=-158.226092141 te=3.37291675944e-10 
E(28,28)=-239.8892315 te=2.37170293951e-08 
E(25,25)=-215.722458722 te=1.13069515628e-08 
E(40,40)=-333.783480743 te=1.68684423924e-07 
E(41,41)=-341.400991521 te=2.10940573988e-07 
E(42,42)=-348.987774431 te=2.7716562995e-07 
E(50,50)=-408.620929233 te=3.71726196517e-07 
E(43,43)=-356.544348128 te=2.78374594313e-07 
E(44,44)=-364.071094278 te=3.59572221094e-07 
E(52,52)=-423.242649306 te=4.29123870093e-07 
E(51,51)=-415.945883601 te=3.43528048175e-07 
E(59,59)=-473.509279987 te=6.62908890102e-07 
E(45,45)=-371.56832515 te=3.51407726505e-07 
E(53,53)=-430.511276642 te=3.86333977472e-07 
E(54,54)=-437.751739182 te=4.87996918607e-07 
E(6,5)=-48.5290528475 te=7.76370109735e-12 
E(3,2)=-21.4966232466 te=7.8062556419e-18 
E(55,55)=-444.963878498 te=4.18019707482e-07 
E(8,7)=-66.4219199831 te=5.55245215759e-11 
E(10,9)=-84.1564787594 te=2.89898801647e-10 
E(7,6)=-57.4922435863 te=1.91263122839e-11 
E(5,4)=-39.5383069428 te=1.57966096203e-12 
E(4,3)=-30.5257144625 te=1.83079327523e-14 
E(9,8)=-75.3120057557 te=1.19848125645e-10 
E(47,47)=-386.475319582 te=4.21429309314e-07 
E(49,49)=-401.267175789 te=4.96727678463e-07 
E(11,10)=-92.9495880922 te=6.00458152468e-10 
E(48,48)=-393.885542236 te=5.42150311713e-07 
E(12,11)=-101.686124666 te=1.20530847905e-09 
E(13,12)=-110.361752556 te=2.30626380951e-09 
E(14,13)=-118.973403794 te=4.35380106388e-09 
E(46,46)=-379.036320126 te=4.46543917569e-07 
E(15,14)=-127.519719179 te=7.85182328964e-09 
E(56,56)=-452.147304667 te=5.41406105418e-07 
E(57,57)=-459.301150724 te=4.23471163649e-07 
E(58,58)=-466.423553914 te=5.08275685933e-07 
E(16,15)=-136.00148836 te=3.17238135394e-09 
E(17,16)=-144.42177242 te=6.32966928101e-09 
E(18,17)=-152.785721416 te=1.26214565546e-08 
E(21,20)=-177.599832951 te=7.19210738735e-08 
E(20,19)=-169.369281873 te=4.14953839456e-08 
