E(2,1)=-12.4558439869 te=-1.38777878078e-16 
E(7,1)=-28.9291925679 te=3.68923158157e-17 
E(14,1)=-48.5036444878 te=1.03466958841e-14 
E(13,1)=-46.057633708 te=1.08123738763e-15 
E(4,1)=-19.1885947095 te=1.81002131686e-15 
E(3,1)=-15.8381656579 te=2.10595429984e-15 
E(15,1)=-50.8145127579 te=2.8124159278e-14 
E(9,1)=-35.0522045908 te=3.20750398534e-16 
E(8,1)=-32.0347936024 te=1.2966736969e-15 
E(10,1)=-37.9717941364 te=9.9571706301e-16 
E(6,1)=-25.7456573798 te=8.22864967693e-16 
E(11,1)=-40.7846021494 te=2.38492063325e-15 
E(12,1)=-43.4823812764 te=1.43063477583e-15 
E(5,1)=-22.4950137793 te=1.58104184143e-15 
E(16,1)=-53.0836601107 te=8.92049842889e-13 
E(17,1)=-55.2313942108 te=1.24899843184e-12 
E(18,1)=-57.236532983 te=3.27803581892e-12 
E(19,1)=-59.224086962 te=1.36522092946e-10 
E(20,1)=-61.1893139121 te=7.92214882211e-10 
E(21,1)=-63.1187121741 te=1.36878857661e-09 
E(29,1)=-76.9292722451 te=1.82516280674e-09 
E(27,1)=-73.8001102732 te=1.54030289223e-09 
E(23,1)=-66.8570830696 te=8.46680875543e-10 
E(26,1)=-72.1330576562 te=1.43702413847e-09 
E(24,1)=-68.6773888464 te=1.11087750582e-09 
E(22,1)=-64.9999062663 te=7.99389314325e-10 
E(30,1)=-78.4041275683 te=2.09230456608e-09 
E(25,1)=-70.4269350982 te=1.2740101368e-09 
E(31,1)=-79.804386264 te=2.21988749618e-09 
E(28,1)=-75.3764793308 te=1.8348954133e-09 
E(32,1)=-81.1691547737 te=2.5547645901e-09 
E(34,1)=-83.6638286839 te=2.74435156825e-09 
E(33,1)=-82.4170225258 te=2.57288592145e-09 
E(36,1)=-85.8820579293 te=3.28242785928e-09 
E(37,1)=-86.8743503645 te=3.47572602426e-09 
E(35,1)=-84.7875996883 te=3.22802844051e-09 
E(39,1)=-88.6746026234 te=7.10097496524e-09 
E(40,1)=-89.5586110503 te=2.28769419298e-08 
E(41,1)=-90.3489172698 te=2.10910566384e-08 
E(38,1)=-87.8194093233 te=3.56329556405e-09 
E(42,1)=-91.0518742576 te=2.30679903733e-08 
E(43,1)=-91.7005036239 te=1.88567573574e-08 
E(45,1)=-92.8320262508 te=1.71069299745e-07 
E(46,1)=-93.3839605141 te=3.37882066889e-07 
E(44,1)=-92.2737148686 te=1.38226723155e-07 
E(49,1)=-94.8791210081 te=2.88500158481e-07 
E(59,1)=-97.5697083424 te=5.01111157033e-07 
E(50,1)=-95.2876921764 te=3.96485421092e-07 
E(57,1)=-97.3334997599 te=3.50921222342e-07 
E(53,1)=-96.4092157777 te=4.57842811592e-07 
E(55,1)=-96.9197558712 te=6.24932699295e-07 
E(58,1)=-97.4667983739 te=4.548072513e-07 
E(54,1)=-96.6662472784 te=4.55847861497e-07 
E(61,1)=-97.65155349 te=4.04775051975e-07 
E(52,1)=-96.0734404451 te=3.34450747934e-07 
E(48,1)=-94.4113044906 te=3.47658238203e-07 
E(60,1)=-97.6298519246 te=3.26938388874e-07 
E(47,1)=-93.9003169965 te=3.93902228267e-07 
E(56,1)=-97.1716857206 te=4.68263535997e-07 
E(51,1)=-95.6950402754 te=4.97095725156e-07 
E(66,1)=-97.1253534483 te=1.90156464946e-07 
E(70,1)=-96.0277658607 te=1.22972251241e-07 
E(71,1)=-95.6715980765 te=9.28702192683e-08 
E(67,1)=-96.9211018212 te=1.81351770943e-07 
E(68,1)=-96.6587420982 te=1.24508825206e-07 
E(62,1)=-97.6021670692 te=2.18811360363e-07 
E(108,1)=-47.3838730204 te=2.90417314992e-15 
